Name	early_unrefined_intensity	early_refined_intensity	late_unrefined_intensity	late_refined_intensity	cell_count	Cellular function
HEBP1	-0.1169502431666321	-0.0007988871110712	-0.5932924718513415	-0.0040527808752165	0.9947470696945372	circadian rhythm
HEBP2	0.5481978073300721	0.0005843788626138	0.050042673060637	5.334548948263904e-05	0.638748398601275	Other
HECA	-0.0657456724698098	-0.0009969673773321	-0.8764569607796955	-0.0132905933532633	0.5586782702915483	anatomical structure development
HECTD1	-1.17806296502472	-0.063670769070691	-0.8400057255681985	-0.0453997894497844	0.5392690769270787	anatomical structure development
HECTD2	-1.4098680463089155	-0.0409637160855055	-1.72274794710708	-0.0500544416031962	-1.2851084100271075	protein polyubiquitination
HECTD3	-0.3355573984603323	-0.0089218001102633	-0.447732287448966	-0.0119043060586931	0.0584533672445979	protein catabolic process
HECTD4	-0.1314961399725476	-0.0081990473195682	0.1940564681082537	0.0120998088994858	0.3438684682389989	carbohydrate metabolic process
HECW1	1.4107436463884655	0.0432477572236848	1.14652928832647	0.0351480018629362	0.9328535706996705	protein catabolic process
HECW2	-0.5677051449549656	-0.053612938479257	-0.7939555975291206	-0.074979578719455	0.5881014738606152	protein catabolic process
HELB	-0.3992620364979968	-0.0691006799187448	-0.3110674373029102	-0.0538367524414519	0.5269363836025446	DNA replication
HELLS	0.2737598572822435	0.019082704611716	-0.7404880922674991	-0.0516164629595983	0.5747591478165667	chromatin organization
HELQ	-0.204897966898724	-0.008286688475285	-0.3817951150702967	-0.015440939838788	0.679472167887652	DNA repair
HELT	1.298142979554744	0.0137914710147895	-0.3043134990102745	-0.0032330266134851	-0.3566977100087398	regulation of DNA-templated transcription
HELZ	-0.503027156995651	-0.0238626022735596	-0.9607536561660456	-0.0455762319412048	-0.2631048178460885	regulatory ncRNA-mediated gene silencing
HELZ2	0.0205731740010658	0.0009008992895066	-0.4407613179704504	-0.019300938113926	0.4199993656987594	regulation of DNA-templated transcription
HEMGN	-0.1549043743907114	-0.0017611078324479	-0.3518397223326833	-0.0040000658032002	0.2489268247092685	cell differentiation
HEMK1	-0.7515450053906552	-0.0007244893851965	-1.1408230906770107	-0.0010997534594126	0.3500004143397484	translational termination
HEMK2	-0.4099306211267853	-0.0002160334373338	-0.831564864867756	-0.0004382346837853	0.6282303885985099	chromatin organization
HENMT1	-0.0930390188057944	-0.0006461559856062	-0.3523421192772837	-0.0024470160183807	0.2255328077334532	RNA methylation
HEPACAM	0.5821552611620329	0.0178523732387949	0.3606918009353888	0.0110609747674846	0.0496380945807677	immune system process
HEPACAM2	0.401554353089967	0.0091028356301964	-0.7970490608713496	-0.0180683051608926	-0.4025284597614911	centrosome cycle
HEPH	1.0196604605528885	0.0128823902586251	0.2645267027350675	0.0033420303623548	-0.2169369606539732	digestive system process
HEPN1	-0.7486791158032553	-0.0003982972896073	-0.8581858540363541	-0.0004565548743473	0.3947744881312336	Other
HERC1	-0.2363951479443581	-0.0074733962071129	-0.4899608018244901	-0.0154896207888794	0.7507069305552914	protein ubiquitination
HERC2	-0.7864229569378334	-0.0669670604750842	-1.3221767303093714	-0.1125886372927642	0.6448029913196487	intracellular protein transport
HERC3	-0.4270348003467916	-0.0167260990599831	-0.778715923171985	-0.0305007452788003	0.4499718388663796	protein catabolic process
HERC4	-0.3724895978604957	-0.0143963504677102	-0.3665243439230644	-0.0141657993682825	0.5780832252306154	reproductive process
HERC5	-0.1676216136601335	-0.0057108683774007	-0.3887021501062604	-0.0132430822541202	-0.4172828272056336	defense response to other organism
HERC6	-1.115192903258046	-0.0377470493894783	-0.8758054688297271	-0.0296442635089486	-0.3902440085881563	protein catabolic process
HERPUD1	0.9113228440565936	0.0075402852117242	-0.7301115846539942	-0.0060409432514271	-0.8126599760427852	protein catabolic process
HERPUD2	-0.1868717857438607	-0.0033154792226675	-0.8982027616345822	-0.0159359133969207	0.0783546685451876	reproductive process
HES1	0.2626202007666841	0.0124849643444481	-0.1015578685611333	-0.0048280610713962	-0.1011601524103797	anatomical structure development
HES2	-0.3072736455930407	-0.0031956459141676	0.1847267880127135	0.0019211585953322	0.4181023353755718	regulation of DNA-templated transcription
HES3	-0.5096215890583091	-0.0058545328151018	-0.9094993514367103	-0.0104483285493049	0.2405556275210658	regulation of DNA-templated transcription
HES4	-1.1886082065728614	-0.022773733237936	-0.8166592617444828	-0.0156471914550242	-1.4706965244962158	regulation of DNA-templated transcription
HES5	0.0976168121338269	0.0028918004426524	-1.3529287096975549	-0.0400791600960803	-0.519533203900826	anatomical structure development
HES6	-0.1613491802294612	-0.0042957605744291	-1.1766686110456237	-0.0313276251004786	-0.5847035221894044	regulation of DNA-templated transcription
HES7	0.0445677383857894	0.0006942762285738	-0.7609855099241246	-0.011854632273598	-0.4382981928663781	regulation of DNA-templated transcription
HESX1	-0.3541400461260872	-0.0008170010864128	-0.5696203876957764	-0.0013141142344141	0.7796629155096708	regulation of DNA-templated transcription
HEXA	0.1462423325611292	0.0005102394983057	-0.6844023529913342	-0.0023878798095867	-0.516538447339484	carbohydrate derivative metabolic process
HEXB	-0.0676908595291208	-9.077344262855098e-05	-0.3979481835853804	-0.0005336485141879	0.4220054777549755	carbohydrate derivative metabolic process
HEXD	-0.2916122081820669	-0.0048404710436141	-0.4254635066297565	-0.0070622687465473	0.3629075784684628	carbohydrate metabolic process
HEXIM1	0.8950118449231494	0.0248455288150666	0.0606837507586732	0.0016845809210607	0.2785695101376351	regulation of DNA-templated transcription
HEXIM2	-0.1693705663936567	-0.0048937931453783	-0.4867722653012706	-0.0140647978336149	0.6774174259266981	regulation of DNA-templated transcription
HEY1	-0.1728204652383116	-0.0052730980353513	-0.45408520749068	-0.0138550478509556	0.1382236660354638	regulation of DNA-templated transcription
HEY2	0.6390981957746181	0.0185332085792681	0.968614413904506	0.0280888493888167	0.4754530155700928	anatomical structure development
HEYL	0.009999475787692	0.0001919699361721	0.0546950963816482	0.0010500364603348	-0.4263982399966585	regulation of DNA-templated transcription
HFM1	0.5089316289352526	0.1702126922290241	0.6352373571009017	0.2124557693197536	0.5471148510140986	reproductive process
HGD	0.4054596755788388	0.0007736170610044	-0.3702476727033575	-0.000706432559518	0.6676479139860428	amino acid metabolic process
HGF	-1.113733578284757	-0.0288690880827191	-1.5629740842490838	-0.0405138512378205	-0.0133725701865379	signaling
HGFAC	-0.2189116784041479	-0.0021440209782902	-0.2375567535652341	-0.0023266308444179	0.581994762842565	protein maturation
HGH1	-0.4335578384761742	-0.0259961279950314	-0.4556350752130907	-0.0273198791097769	0.1915465681421863	Other
HGS	-0.0525354002209743	-0.0063932955298914	-0.540360955493023	-0.0657592264787234	-0.2341421570246113	vesicle-mediated transport
HHAT	-0.3027485313583328	-0.009220206522518	-1.286843383426159	-0.0391908152422436	0.6722800029083545	protein maturation
HHATL	-0.2446478751047198	-0.0015924130190566	0.3879258684522288	0.0025250094777555	0.4512384551166145	negative regulation of N-terminal protein palmitoylation
